,score1,score2,score3,score4,score5,score_mean
1,0.9,0.7,0.8,0.2,0.7,0.6600000000000001
2,0.9,0.9,1.0,0.9,0.9,0.9199999999999999
3,0.8,0.7,0.8,0.7,0.8,0.7599999999999999
5,0.9,0.8,0.8,0.9,1.0,0.88
6,0.7,0.5,0.7,1.0,0.3,0.64
7,0.7,0.7,0.7,0.7,0.8,0.7199999999999999
8,0.5,0.2,0.6,0.3,0.5,0.41999999999999993
10,0.7,0.2,0.8,0.8,0.8,0.66
11,1.0,0.9,0.8,0.7,0.9,0.8600000000000002
13,0.7,0.5,0.5,0.7,0.7,0.62
14,0.7,0.9,0.8,0.7,0.7,0.7600000000000001
15,0.7,0.6,0.7,0.7,0.5,0.64
16,0.5,0.3,0.5,0.5,0.3,0.42
17,0.9,0.9,0.8,0.9,0.9,0.88
19,0.7,0.8,0.7,0.8,0.7,0.7400000000000001
20,0.5,0.8,0.5,0.8,0.7,0.66
21,0.9,0.8,0.8,0.7,0.3,0.7000000000000001
23,0.7,0.6,0.7,0.7,0.7,0.6799999999999998
24,0.8,0.9,0.7,0.7,0.9,0.8000000000000002
25,0.9,0.8,0.7,0.8,0.9,0.8200000000000002
26,0.7,0.8,0.3,0.5,0.7,0.6
27,0.7,0.8,0.9,0.9,0.9,0.84
28,0.7,0.5,0.9,0.9,0.9,0.7799999999999999
29,0.3,0.8,0.2,0.5,0.5,0.45999999999999996
30,0.5,0.9,0.7,0.9,0.7,0.7399999999999999
32,0.8,0.5,0.7,0.7,0.5,0.64
33,0.7,0.6,0.7,0.7,0.5,0.64
34,0.5,0.7,0.7,0.7,0.7,0.66
35,0.7,0.9,0.7,0.6,0.9,0.7599999999999999
36,0.3,0.85,0.7,0.3,0.7,0.57
37,0.85,0.9,0.7,0.7,0.7,0.7700000000000001
38,0.7,0.9,1.0,0.8,1.0,0.88
39,0.6,0.7,0.8,0.7,0.3,0.62
40,0.7,0.7,0.7,0.7,0.66,0.6920000000000001
41,0.5,0.8,0.7,0.5,0.7,0.64
42,0.5,0.9,0.9,0.9,0.7,0.7799999999999999
43,0.8,0.7,0.7,0.7,0.8,0.7400000000000001
44,0.8,0.9,0.9,0.9,0.7,0.84
45,0.2,0.2,0.3,0.3,0.5,0.3
46,0.9,0.9,0.8,0.7,1.0,0.86
48,0.5,0.5,0.7,0.7,0.3,0.5399999999999999
49,0.7,0.5,0.8,0.7,0.7,0.68
50,0.9,0.8,0.7,0.7,0.9,0.8000000000000002
51,0.7,0.8,0.9,0.9,0.7,0.7999999999999999
