image_id,prediction,ref1,ref2,ref3,ref4,ref5
139,"A woman stands in the dining area at a table, with a TV on the wall to her left and a kitchen to her right.",A woman stands in the dining area at the table.,"A room with chairs, a table, and a woman in it.",A woman standing in a kitchen by a window,A person standing at a table in a room.,A living area with a television and a table
885,"A man in a white hat and black shirt is playing tennis on a court, with a tennis racket in his hand.",a male tennis player in white shorts is playing tennis,This woman has just returned a volley in tennis,A man holding a tennis racket playing tennis.,The man balances on one leg after serving a tennis ball.,Someone playing in a tennis tournament with a crowd looking on.
1532,"The image depicts a highway scene with a bridge in the background, featuring multiple green highway signs indicating the directions to various locations, including Ventura, Hollywood Blvd, and Sunset Blvd.",A street scene with focus on the street signs on an overpass.,Many cars traveling on a busy road with exit signs overhead.,California traffic goes by road signs on an overpass indicating famous Hollywood streets.,Some cars on the freeway are exiting onto Sunset Blvd.,Cars and trucks driving under the underpass with street signs directing them where to go
2153,"A baseball player in a red and white uniform stands at home plate, holding a bat and wearing a red helmet, with a catcher and umpire positioned behind him.",Batter preparing to swing at pitch during major game.,A baseball player swinging a bat over home plate.,A baseball player with a bat in his hand as the pitcher gets ready to throw the ball.,A baseball game where the batter is waiting for the pitch.,there is a male tennis player that is at base
2592,"A white coffee mug with a skull and crossbones design sits on a table, accompanied by a knife with a black handle.",Decorated coffee cup and knife sitting on a patterned surface.,A large knife is sitting in front of a mug has a skull and crossbones.,a white mug  showing pirate skull and bones and a large knife on a counter top.,There is a white coffee cup with a skull and bones on it next to a knife,a close up of a knife and a cup on a surface
3845,"A plate of food, including rice, vegetables, and meat, sits on a table.",a chicken meal with carrots broccoli and rice,A dinner plate that has white steamed rice with stir fry vegetables and chicken.,"A plate of vegetables, chicken, and white rice.",The food is prepared on the dish on the table.,A plate of food and a drink on a table.
5037,"A white bus with a pink and blue stripe is parked on the side of a road, with a sign reading ""First Group"" displayed above the windshield.",A passenger bus pulling up to the side of a street.,A bus sitting still on the side of the road.,A bus that is sitting on the street.,A bus is traveling down the city street.,a bus stops to pick up some passengers
5992,"The image depicts a group of sheep standing in a grassy area, with one sheep in the foreground facing the camera.",A small group of sheep standing together next to a building.,Group of sheep standing next to a brick building.,sheep standing around next to a brick wall,A herd of sheep standing on top of a green grass covered yard.,A group of shaggy haired sheep standing beside a building.
6763,"A man and woman stand together in a dimly lit room, with the man wearing a blue shirt and tie and the woman wearing a white tank top.",A man and a women posing next to one another in front of a table.,A man and woman hugging in a restaurant,A man and woman standing next to a table.,A happy man and woman pose for a picture.,A man and woman posing for a picture in a sports bar.
7281,"A man and a woman ride horses on a beach, with the man holding a sword and the woman wearing a white dress.",Two men smile as they ride horses on the beach.,two guys horseback riding and playing on the beach.,Two men are riding horses along the beach.,Two people on horseback are posing while the horses gallop on a beach shore.,Two people on horses on a beach readying for a picture
7888,"A clock tower stands tall, featuring three clock faces displaying the times 12:00, 1:00, and 2:00.",A pedestal clock strikes 6:55 in a rainy sky.,The image has a large cubed clock on a post.,A poll that has a clock on the top of it.,We are looking up at a large square clock on a pole.,Four sided clock up on a black post.
8690,"The image depicts two young girls standing behind a fence, with one girl petting a black goat and the other girl petting a white goat.",The two young girls are petting the two goats.,Two small children petting animals at a zoo.,Two young girls petting goats in a pen.,Two girls pet a goat that is in a pen.,This is an image of two girls with goats
9590,"A group of men sit around a table in a room with a window, engaged in eating and drinking.",A group of people sitting around a wooden table.,A group of guys are sitting at a table eating and laughing.,A group of men are sitting around a table.,A group of young males sitting around eating a meal.,A group of men sipping drinks and talking at a table.
10707,"A man stands in a living room, holding a Wii remote and wearing a white t-shirt, with a red couch behind him and a coffee table in front.",A man standing in a living room holding a Nintendo Wii game controller.,Three people with cups on the couch and one with remote standing,A man holding a motion controlled video game controller,Man with video game controller in living room with onlooker seated nearby.,A man playing a video game while two men sit on a couch.
11511,"A woman sits on a bench, wearing a dress and holding a purse, with a man standing behind her, both in a park-like setting.",A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them.,A metal statue of two women sits on a bench in a city street.,A statue of two women with purses sitting on a bench.,A statue of two people sitting on a bench.,A metal statue of two women sitting on a bench.
12576,"A woman sits at a table with pizza boxes and glasses, with a television visible in the background.",A woman sitting at a table topped with pizza.,A close-up of a table with three boxes of pizza.,An elderly woman seated at a table holding three pizzas.,A grandmother looks at her family's pizza dinner,Pizza and empty glasses on the dinner table.
13291,"A group of four people, including two men and two women, pose together on a grassy field, each holding a frisbee and smiling at the camera.",A group of people hold up Frisbees for the camera.,A group of people holding frisbees on a field.,A group of people in a field smile holding frisbees.,Several people posing in a field while holding frisbees.,A group of people playing with Frisbee's on the grass.
14007,"A cat sits on top of a refrigerator, wearing a blue collar and looking to the right.",A cat stands on top of a blue electric device.,a cat sitting on top of a blue refrigerator,"A dark colored cat that has a collar on it, sitting o the top of a blue refrigerator.",A brown colored cat is on top of a tall gray cabinet.,A gray cat standing on the top of a refrigerator.
15079,"A sandwich with a filling of peanut butter and jelly is cut in half and placed on a plate, accompanied by a knife.",Two peanut butter and jelly sandwiches sliced in half,A tasty looking sandwich that is cut in half to eat.,Close up of sandwich cut with knife and plate,a delicious looking sandwich on a plate with a knife,Two sandwiches have been halved and placed on a plate with a knife.
15517,"A city street scene with a large parking lot, multiple buses, and a highway overpass is visible in the image.",Buses parked on a road outside a large bus station.,A city road with buses and bus park,The view of a metropolitan area behind many buses.,A wide view of a bunch of buses by some buildings.,a photo of a bus terminal taken from a distance
16249,"A man in a gray suit and cap sits on a bench, reading a newspaper.",A man sitting on top of a bench with a newspaper.,Several older men sit and relax on shady benches.,It sure is a beautiful day to sit outside and read the paper.,there are many people that are sitting on the benches,A man sitting on a bench reading a newspaper.
17115,"The image depicts two zebras standing in a grassy area, with a chain-link fence and a tree trunk visible in the background.",Two zebras are standing together next to the fence.,The back end view of two zebras standing at a fence.,A couple of zebra standing next to each other on a field.,A rear view of two zebras with their heads up against a fence.,Two zebras that are standing in the grass.
